Year,State_Name,State_FIPS,Scaling_Factor,GCAM_USA_Load_TWh,Raw_TELL_Load_TWh,Scaled_TELL_Load_TWh
2098,Alabama,1000,0.92861,93.00952,100.16022,93.00952
2098,Arizona,4000,0.92225,88.92087,96.41737,88.92087
2098,Arkansas,5000,0.9508,49.72777,52.30092,49.72777
2098,California,6000,0.88761,299.96595,337.94746,299.96595
2098,Colorado,8000,0.87069,60.09241,69.01677,60.09241
2098,Connecticut,9000,1.19141,31.95357,26.81998,31.95357
2098,Delaware,10000,0.81577,12.82692,15.72362,12.82692
2098,District of Columbia,11000,1.6807,13.28767,7.90601,13.28767
2098,Florida,12000,0.94082,275.50901,292.84046,275.50901
2098,Georgia,13000,0.85267,149.88436,175.78213,149.88436
2098,Idaho,16000,0.94966,26.1812,27.56909,26.1812
2098,Illinois,17000,0.97933,149.39643,152.54999,149.39643
2098,Indiana,18000,0.98105,107.74362,109.82524,107.74362
2098,Iowa,19000,0.85701,51.14943,59.68338,51.14943
2098,Kansas,20000,0.8612,43.90712,50.98361,43.90712
2098,Kentucky,21000,0.67779,81.24627,119.86941,81.24627
2098,Louisiana,22000,1.50665,94.88063,62.97476,94.88063
2098,Maine,23000,1.09072,12.48166,11.44352,12.48166
2098,Maryland,24000,0.84288,70.3863,83.50737,70.3863
2098,Massachusetts,25000,1.06594,60.97082,57.19912,60.97082
2098,Michigan,26000,1.07344,108.69046,101.25421,108.69046
2098,Minnesota,27000,1.03986,73.27485,70.46575,73.27485
2098,Mississippi,28000,0.83556,51.28811,61.38157,51.28811
2098,Missouri,29000,0.79888,91.13532,114.07877,91.13532
2098,Montana,30000,0.65868,15.41602,23.40424,15.41602
2098,Nebraska,31000,0.97084,32.50994,33.48628,32.50994
2098,Nevada,32000,1.1356,41.34729,36.41001,41.34729
2098,New Hampshire,33000,0.99149,12.03461,12.13789,12.03461
2098,New Jersey,34000,0.96191,86.06794,89.47625,86.06794
2098,New Mexico,35000,0.98752,24.06989,24.37399,24.06989
2098,New York,36000,0.95077,166.99261,175.63874,166.99261
2098,North Carolina,37000,0.85103,149.85625,176.0878,149.85625
2098,North Dakota,38000,0.73423,19.02086,25.9057,19.02086
2098,Ohio,39000,1.04544,157.54542,150.69805,157.54542
2098,Oklahoma,40000,0.82889,66.13288,79.78498,66.13288
2098,Oregon,41000,0.93914,53.39389,56.85373,53.39389
2098,Pennsylvania,42000,0.92723,156.14369,168.39795,156.14369
2098,Rhode Island,44000,0.91367,8.43648,9.23361,8.43648
2098,South Carolina,45000,0.95078,89.58678,94.22482,89.58678
2098,South Dakota,46000,0.54565,13.45992,24.66771,13.45992
2098,Tennessee,47000,0.98155,111.00547,113.0918,111.00547
2098,Texas,48000,0.79254,438.34965,553.09612,438.34965
2098,Utah,49000,0.69015,34.65234,50.20957,34.65234
2098,Vermont,50000,1.17288,5.92874,5.05484,5.92874
2098,Virginia,51000,0.92404,124.82896,135.08998,124.82896
2098,Washington,53000,1.07869,104.20138,96.59981,104.20138
2098,West Virginia,54000,1.40071,32.51393,23.21252,32.51393
2098,Wisconsin,55000,1.1262,73.34712,65.12776,73.34712
2098,Wyoming,56000,2.69113,16.5947,6.16644,16.5947
